film_id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
ts42655,Wanted,SHOW,"Two complete strangers, Lola and Chelsea, intervene in a fatal carjacking while waiting at a suburban bus stop, and are subsequently thrust into a chase from authorities across Australia with a vehicle filled with cash. The strangers must rely solely on each other while on the run.",2016,TV-14,45,"['crime', 'drama', 'action']",['AU'],3.0,tt5193358,7.6,5920.0,12.755,7.2,Netflix
tm206512,Circle,MOVIE,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Organized in an inward-facing circle and unable to move, they quickly learn that every two minutes, one of them must die... executed by a strange device in the center of the room.",2015,R,87,"['thriller', 'drama', 'horror', 'scifi', 'european']",['US'],-1.0,tt3118452,6.0,52925.0,14.711,6.0,Netflix
ts36983,Fuller House,SHOW,"D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.",2016,TV-Y7,27,"['comedy', 'family']",['US'],5.0,tt3986586,6.7,27445.0,25.211,7.6,Netflix
ts38783,Secret City,SHOW,"Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.",2016,TV-MA,50,"['war', 'thriller']",['AU'],3.0,tt4976512,7.4,8086.0,12.012,6.6,Netflix
ts38116,Mobile Suit Gundam: Iron-Blooded Orphans,SHOW,"When Mikazuki Augus, a young member of a private security company known as the CGS, accepts a mission to protect a young woman seeking to liberate the Martian city of Chryse from Earth’s rule, he sets off a chain of events that threatens to send the galaxy back to war.",2015,TV-MA,24,"['war', 'action', 'scifi', 'animation', 'drama']",['JP'],2.0,tt15432108,7.9,1660.0,9.168,7.1,Netflix
tm239743,Batman: The Killing Joke,MOVIE,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",2016,R,76,"['animation', 'drama', 'action', 'thriller', 'crime']",['US'],-1.0,tt4853102,6.4,56275.0,25.747,6.615,both platforms
ts35256,Chef's Table,SHOW,"In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food.",2015,TV-MA,50,['documentation'],['US'],7.0,tt4295140,8.5,15352.0,10.447,7.9,Netflix
tm200126,He Never Died,MOVIE,Jack is a solitary man with a mysterious past. His strange habits will soon become stranger when his past catches up with him.,2015,R,99,"['fantasy', 'horror', 'comedy', 'drama', 'thriller']","['US', 'CA']",-1.0,tt2386404,6.3,20376.0,10.541,6.1,Netflix
tm208622,American Ultra,MOVIE,"Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.",2015,R,96,"['action', 'comedy', 'scifi']","['CH', 'US']",-1.0,tt3316948,6.1,89912.0,20.733,6.1,both platforms
ts35362,Locked Up,SHOW,"Set up to take the blame for corporate fraud, young Macarena Ferreiro is locked up in a high-security women's prison surrounded by tough, ruthless criminals in this tense, provocative Spanish thriller.",2015,TV-MA,49,"['drama', 'thriller', 'action', 'european']",['ES'],4.0,tt4524056,8.2,21862.0,156.976,8.0,Netflix
