person_id,name
27240,Nick Copeland
25663,Pat Flaherty
14164,Douglas Fowley
108224,Christian J. Frank
49075,Dick Gordon
71925,Sherry Hall
28729,Edward Hearn
27575,Robert Homans
108225,John Irwin
56559,Thomas E. Jackson
108226,Sydney Jarvis
108227,Tiny Jones
598640,John Larkin
108229,Walter Long
83139,Fred Malatesta
82252,Hans Moebus
62994,Henry Otho
105983,Garry Owen
45709,Albert Pollet
28912,Bob Reeves
74673,Bert Roach
41448,Rolfe Sedan
108230,Gertrude Short
41706,Lee Shumway
830111,Skippy
108231,Pietro Sosso
27337,Ben Taggart
108222,Phil Tead
108223,George Templeton
27340,Harry Tenbrook
88777,Huey White
108232,Charles Williams
42890,W.S. Van Dyke
33316,Joan Crawford
23697,Jack Carson
69893,Zachary Scott
55217,Eve Arden
129161,Ann Blyth
55258,Bruce Bennett
27566,Lee Patrick
6144,Moroni Olsen
57484,Veda Ann Borg
129162,Jo Ann Marlowe
1245703,Bill Alcorn
129164,Betty Alexander
129163,Ramsay Ames
129165,George Anderson
37828,Robert Arthur
129166,Lynn Baggett
129170,Leah Baird
79556,Dorothy Barrett
63135,Barbara Brown
63136,Claire Carleton
129167,Doria Caron
28511,Wheaton Chambers
47795,Chester Clute
129171,John Compton
63065,Joyce Compton
98758,Clancy Cooper
129173,David Cota
71921,Tom Dillon
28656,James Flavin
63153,Angela Greene
11373,Dorothy Hack
129172,Charles Jordan
129168,Marjorie Kane
129174,Fred Kelsey
27283,Richard Kipling
129177,Manart Kippen
129169,Marion Lessing
129176,Jimmy Lono
129178,Jean Lorraine
71928,George Meader
49085,Harold Miller
27576,Jack Mower
129179,Larry Rio
129175,William Ruhl
129180,Mary Servoss
45716,George Tobias
72826,Charles Trowbridge
129181,Johnny Walsh
102589,Joan Winfield
2448193,John Christian
22986,Ellen Widmann
22985,Inge Landgut
22987,Otto Wernicke
20250,Theodor Loos
22988,Gustaf Gründgens
22989,Friedrich Gnaß
22990,Fritz Odemar
22991,Paul Kemp
1105,Theo Lingen
570813,Rudolf Blümner
20260,Georg John
320859,Franz Stein
556806,Ernst Stahl-Nachbaur
22992,Gerhard Bienert
570345,Karl Platen
571791,Rosa Valetti
132054,Hertha von Walther
558517,Carl Ballhaus
565450,Paul Mederow
154757,Hadrian Maria Netto
1045115,Lucie Rhoden
567007,Karl Hannemann
20266,Fritz Lang
27571,Walter Huston
71549,Tim Holt
27565,Barton MacLane
151034,Alfonso Bedoya
137715,Arturo Soto Rangel
598871,Manuel Dondé
598870,José Torvay
598872,Margarito Luna
24987,Robert Blake
224415,Guillermo Calles
151422,Roberto Cañedo
132388,Jacqueline Dalya
28512,Ralph Dunn
1255830,Ernesto Escoto
128628,Jack Holt
17900,John Huston
1255706,Francisco Islas
1255817,Mario Mancilla
36183,Julian Rivero
1255822,Ángela Rodríguez
25664,Jay Silverheels
21363,Ray Spiker
1255826,Valdespino
1255722,Ildefonso Vega
608452,Ignacio Villalbazo
98756,Clifton Young
83269,Lamberto Maggiorani
83270,Enzo Staiola
83271,Lianella Carell
83276,Elena Altieri
